WBS_CODE_lv01,WBS_CODE_lv02,WBS_CODE_lv03,Activity,Department
新薬開発,A-00123,第I相試験,健康成人被験者の組み入れ基準策定と実施計画書作成,臨床開発部
製造技術,製剤技術検討,スケールアップ,治験薬製造から実生産への技術移管プロジェクト,製造部
基礎研究,化合物評価,薬効評価,新規化合物の受容体結合試験の実施,研究所
がん領域戦略,PROD-ONK01,市場分析,がん領域重点製品の市場浸透施策立案,営業本部
人材採用,人材戦略,新卒採用,研究開発職向け会社説明会の企画と実施,人事部
海外開発,B-00456,第III相試験,グローバル第III相試験の症例登録管理,臨床開発部
品質試験,バイオアッセイ,試験法開発,生物活性試験法の開発とバリデーション,品質管理部
知的財産,特許管理,特許出願,開発品の用途特許出願準備と実施,知的財産部
CNS製品,営業企画,売上分析,中枢神経系製品の地域別売上分析,営業本部
システム更改,基幹システム,ERP導入,グローバルERPシステムの導入プロジェクト,情報システム部
研究基盤整備,実験施設,動物実験,新規動物実験施設の立ち上げ計画策定,研究所
医療機関管理,リソース配分,担当割り当て,重点医療機関のMR担当者配置計画,営業本部
経理管理,予算管理,部門予算,研究開発費の予算実績管理と分析,経理部
薬事戦略,承認申請,照会対応,新薬承認申請に関する追加資料対応,薬事部
安全性管理,市販後調査,使用成績,重点製品の使用成績調査とりまとめ,安全管理部
製造品質,バリデーション,工程評価,注射剤製造ラインのプロセスバリデーション,製造部
臨床研究,医師主導治験,契約管理,医師主導治験の契約書作成と予算管理,研究所
メディカル,エビデンス創出,論文管理,重点領域製品の学術論文執筆支援,メディカルアフェアーズ部
グローバル開発,C-00789,第II相試験,国際共同治験の実施計画立案,臨床開発部
生産技術,製造支援,技術移管,海外工場への製造技術移管プロジェクト,製造部
原価管理,製造原価,コスト分析,主力製品の製造原価低減プロジェクト,経理部
開発企画,D-00234,開発計画,開発候補品の開発戦略策定,臨床開発部
海外事業,アジア展開,市場調査,アジア地域での市場環境調査,事業開発部
製品戦略,循環器領域,製品導入,新規循環器領域製品の導入可能性評価,事業開発部
研究管理,研究費用,予算策定,次年度研究テーマ別予算案作成,研究所
品質保証,GMP対応,監査準備,海外当局査察への対応準備,品質保証部
設備管理,製造設備,保守点検,滅菌設備の定期メンテナンス計画策定,製造部
臨床開発,E-00567,症例登録,国内第II相試験の症例登録促進,臨床開発部
研究企画,共同研究,アカデミア連携,アカデミアとの共同研究テーマ探索,研究所
人事制度,評価制度,制度設計,研究職人事評価制度の見直しプロジェクト,人事部
安全性情報,副作用管理,データ解析,安全性情報の統計解析とシグナル検出,安全管理部
製剤研究,製剤設計,処方検討,新規製剤の処方設計と安定性評価,研究所
営業支援,販売促進,資材作成,製品説明用デジタルコンテンツの作成,営業本部
薬事業務,規制対応,変更管理,製造所変更に伴う一部変更申請対応,薬事部
